ord,fam,genus,species,subspecies,species_id,species_id_html,synonyms
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,steadi,,Thalassarche steadi,Thalassarchesteadi,
CHARADRIIFORMES,DROMADIDAE,Dromas,ardeola,,Dromas ardeola,Dromasardeola,
SULIFORMES,FREGATIDAE,Fregata,andrewsi,,Fregata andrewsi,Fregataandrewsi,
SULIFORMES,FREGATIDAE,Fregata,aquila,,Fregata aquila,Fregataaquila,
SULIFORMES,FREGATIDAE,Fregata,ariel,,Fregata ariel,Fregataariel,
SULIFORMES,FREGATIDAE,Fregata,magnificens,,Fregata magnificens,Fregatamagnificens,
SULIFORMES,FREGATIDAE,Fregata,minor,,Fregata minor,Fregataminor,
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,coromandelicus,,Cursorius coromandelicus,Cursoriuscoromandelicus,
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,cursor,,Cursorius cursor,Cursoriuscursor,
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,rufus,,Cursorius rufus,Cursoriusrufus,
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,somalensis,,Cursorius somalensis,Cursoriussomalensis,
CHARADRIIFORMES,GLAREOLIDAE,Cursorius,temminckii,,Cursorius temminckii,Cursoriustemminckii,
CHARADRIIFORMES,GLAREOLIDAE,Glareola,cinerea,,Glareola cinerea,Glareolacinerea,
CHARADRIIFORMES,GLAREOLIDAE,Glareola,lactea,,Glareola lactea,Glareolalactea,
CHARADRIIFORMES,GLAREOLIDAE,Glareola,maldivarum,,Glareola maldivarum,Glareolamaldivarum,
CHARADRIIFORMES,GLAREOLIDAE,Glareola,nordmanni,,Glareola nordmanni,Glareolanordmanni,
CHARADRIIFORMES,GLAREOLIDAE,Glareola,nuchalis,,Glareola nuchalis,Glareolanuchalis,
CHARADRIIFORMES,GLAREOLIDAE,Glareola,ocularis,,Glareola ocularis,Glareolaocularis,
CHARADRIIFORMES,GLAREOLIDAE,Glareola,pratincola,,Glareola pratincola,Glareolapratincola,
CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,bitorquatus,,Rhinoptilus bitorquatus,Rhinoptilusbitorquatus,Cursorius bitorquatus bitorquatus
CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,chalcopterus,,Rhinoptilus chalcopterus,Rhinoptiluschalcopterus,
CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,cinctus,,Rhinoptilus cinctus,Rhinoptiluscinctus,
CHARADRIIFORMES,GLAREOLIDAE,Smutsornis,africanus,,Smutsornis africanus,Smutsornisafricanus,Rhinoptilus africanus
CHARADRIIFORMES,GLAREOLIDAE,Stiltia,isabella,,Stiltia isabella,Stiltiaisabella,
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,ater,,Haematopus ater,Haematopusater,Haematopus bachmani
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,chathamensis,,Haematopus chathamensis,Haematopuschathamensis,
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,fuliginosus,,Haematopus fuliginosus,Haematopusfuliginosus,
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,leucopodus,,Haematopus leucopodus,Haematopusleucopodus,
CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,longirostris,,Haematopus longirostris,Haematopuslongirostris,
