nlid,species_id,nest_location_id,nest_location,cite_id,username,dt
360,Larus serranus,1,O,citation311,grant,7/17/2016
361,Larus smithsonianus,1,unknown,citation311,grant,7/17/2016
362,Larus thayeri,1,Cl,citation311,grant,7/17/2016
363,Onychoprion aleuticus,1,O,citation311,grant,7/17/2016
364,Onychoprion anaethetus,1,Cr,citation311,grant,7/17/2016
365,Onychoprion anaethetus,2,Un,citation311,grant,7/17/2016
366,Onychoprion anaethetus,3,O,citation311,grant,7/17/2016
367,Onychoprion fuscatus,1,O,citation311,grant,7/17/2016
368,Onychoprion lunatus,1,O,citation311,grant,7/17/2016
369,Pagophila eburnea,1,O,citation311,grant,7/17/2016
370,Pagophila eburnea,2,Cl,citation311,grant,7/17/2016
371,Phaetusa simplex,1,O,citation311,grant,7/17/2016
372,Procelsterna albivitta,1,unknown,citation311,grant,7/17/2016
373,Procelsterna cerulea,1,Cl,citation311,grant,7/17/2016
374,Procelsterna cerulea,2,Sl,citation311,grant,7/17/2016
375,Procelsterna cerulea,3,Cr,citation311,grant,7/17/2016
376,Rhodostethia rosea,1,O,citation311,grant,7/17/2016
377,Rissa brevirostris,1,Cl,citation311,grant,7/17/2016
378,Rissa tridactyla,1,Cl,citation311,grant,7/17/2016
379,Rynchops albicollis,1,unknown,citation311,grant,7/17/2016
380,Rynchops flavirostris,1,unknown,citation311,grant,7/17/2016
381,Rynchops niger,1,O,citation311,grant,7/17/2016
382,Saundersilarus saundersi,1,O,citation311,grant,7/17/2016
383,Sterna acuticauda,1,O,citation311,grant,7/17/2016
384,Sterna aurantia,1,O,citation311,grant,7/17/2016
385,Sterna dougallii,1,O,citation311,grant,7/17/2016
386,Sterna forsteri,1,O,citation311,grant,7/17/2016
387,Sterna forsteri,2,F,citation311,grant,7/17/2016
388,Sterna hirundinacea,1,O,citation311,grant,7/17/2016
389,Sterna hirundo,1,O,citation311,grant,7/17/2016
390,Sterna paradisaea,1,O,citation311,grant,7/17/2016
391,Sterna repressa,1,O,citation311,grant,7/17/2016
392,Sterna striata,1,O,citation311,grant,7/17/2016
393,Sterna sumatrana,1,O,citation311,grant,7/17/2016
