iucnid,species_id,iucn_status,red_list_criteria,year_assessed,population_trend,population_estimate,population_range,population_uncertainty,population_location
416,Phalacrocorax nigrogularis,VU,"A2bce+3ce+4bce;B2ab(i,ii,iii,iv,v)",2012,decreasing,,,,
417,Phalacrocorax onslowi,CR,"B2ab(ii,iii,iv,v)",2012,decreasing,,,,
418,Phalacrocorax pelagicus,LC,,2012,decreasing,,,,
419,Phalacrocorax penicillatus,LC,,2012,decreasing,,,,
420,Phalacrocorax perspicillatus,EX,,2012,,,,,
421,Phalacrocorax punctatus,LC,,2012,unknown,,,,
422,Phalacrocorax ranfurlyi,VU,D1+2,2012,stable,,,,
423,Phalacrocorax sulcirostris,LC,,2012,unknown,,,,
424,Phalacrocorax urile,LC,,2012,decreasing,,,,
425,Phalacrocorax varius,LC,,2012,unknown,,,,
426,Phalacrocorax verrucosus,LC,,2014,unknown,,,,
427,Pluvianellus socialis,NT,,2012,stable,,,,
428,Pluvianus aegyptius,LC,,2012,decreasing,,,,
429,Aphrodroma brevirostris,LC,,2012,stable,,,,
430,Ardenna bulleri,VU,D2,2012,stable,,,,
431,Ardenna carneipes,LC,,2012,stable,,,,
432,Ardenna creatopus,VU,D2,2012,unknown,,,,
433,Ardenna gravis,LC,,2012,stable,,,,
434,Ardenna grisea,NT,,2012,decreasing,,,,
435,Ardenna pacifica,LC,,2012,decreasing,,,,
436,Ardenna tenuirostris,LC,,2012,decreasing,,,,
437,Bulweria bifax,EX,,2012,,,,,
438,Bulweria bulwerii,LC,,2012,stable,,,,
439,Bulweria fallax,NT,,2012,increasing,,,,
440,Calonectris borealis,LC,,2014,decreasing,,,,
441,Calonectris diomedea,LC,,2014,decreasing,,,,
442,Calonectris edwardsii,NT,,2012,decreasing,10000,,,
443,Calonectris leucomelas,LC,,2012,decreasing,,,,
444,Daption capense,LC,,2012,stable,,,,
445,Fulmarus glacialis,LC,,2012,increasing,,,,
446,Fulmarus glacialoides,LC,,2012,stable,,,,
447,Halobaena caerulea,LC,,2012,stable,,,,
448,Macronectes giganteus,LC,,2012,increasing,,,,
449,Macronectes halli,LC,,2012,increasing,,,,
450,Pachyptila belcheri,LC,,2012,stable,,,,
451,Pachyptila crassirostris,LC,,2012,stable,,,,
452,Pachyptila desolata,LC,,2012,decreasing,,,,
453,Pachyptila salvini,LC,,2012,stable,,,,
454,Pachyptila turtur,LC,,2012,stable,,,,
455,Pachyptila vittata,LC,,2012,decreasing,,,,
456,Pagodroma nivea,LC,,2012,stable,,,,
457,Pelecanoides garnotii,EN,"B2ab(iii,v)",2012,decreasing,,,,
458,Pelecanoides georgicus,LC,,2012,decreasing,,,,
459,Pelecanoides magellani,LC,,2012,decreasing,,,,
460,Pelecanoides urinatrix,LC,,2012,decreasing,,,,
461,Pelecanoides urinatrix exsul,LC,,2012,decreasing,,,,
462,Procellaria aequinoctialis,VU,A4bcde,2012,decreasing,,,,
