feature_id,species_id,traits,mean,range,uncertainty,units,comments,study_year,study_location,citeid,username,dt
309,Cepphus carbo,annual survival,,,,%,,,,citation311,grant,7/15/2016
310,Cepphus carbo,foraging distance,,,,km,,,,citation311,grant,7/15/2016
311,Cepphus columba,female mass,,"[0.45,0.55]",,Kg,,,,citation311,grant,7/15/2016
312,Cepphus columba,male mass,,"[0.45,0.55]",,Kg,,,,citation311,grant,7/15/2016
313,Cepphus columba,culmen,,,,mm,,,,citation311,grant,7/15/2016
314,Cepphus columba,tarsus,,,,mm,,,,citation311,grant,7/15/2016
315,Cepphus columba,tail,,,,mm,,,,citation311,grant,7/15/2016
316,Cepphus columba,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
317,Cepphus columba,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
318,Cepphus columba,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
319,Cepphus columba,clutch size,2,"[1,2]",,N/A,,,,citation311,grant,7/15/2016
320,Cepphus columba,egg mass,54,,,g,,,,citation311,grant,7/15/2016
321,Cepphus columba,incubation period,29,"[26,32]",,d,,,,citation311,grant,7/15/2016
322,Cepphus columba,fledging period,40,"[35,54]",,d,,,,citation311,grant,7/15/2016
323,Cepphus columba,reproductive success,,,,%,,,,citation311,grant,7/15/2016
324,Cepphus columba,hatching success,,,,%,,,,citation311,grant,7/15/2016
325,Cepphus columba,fledging success,,,,%,,,,citation311,grant,7/15/2016
326,Cepphus columba,max growth,,"[10,20]",,g/d,,,,citation311,grant,7/15/2016
327,Cepphus columba,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
328,Cepphus columba,post fledge care,0,,,d,,,,citation311,grant,7/15/2016
329,Cepphus columba,fledgling mass,423,,,g,,,,citation311,grant,7/15/2016
330,Cepphus columba,ratio fledgling to adult,91,,,%,,,,citation311,grant,7/15/2016
331,Cepphus columba,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
332,Cepphus columba,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
333,Cepphus columba,first year survival,,,,%,,,,citation311,grant,7/15/2016
334,Cepphus columba,second year survival,,,,%,,,,citation311,grant,7/15/2016
