fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
105,CHARADRIIFORMES,BURHINIDAE,Burhinus,senegalensis,Burhinus senegalensis,Burhinussenegalensis,,Senegal Thick-knee,,,,,,LC,,2012,unknown,,,
106,CHARADRIIFORMES,BURHINIDAE,Burhinus,superciliaris,Burhinus superciliaris,Burhinussuperciliaris,,Peruvian Thick-knee,,,,,,LC,,2012,unknown,,,
107,CHARADRIIFORMES,BURHINIDAE,Burhinus,vermiculatus,Burhinus vermiculatus,Burhinusvermiculatus,,Water Thick-knee, Water Dikkop,,,,,LC,,2012,unknown,,,
108,CHARADRIIFORMES,BURHINIDAE,Esacus,magnirostris,Esacus magnirostris,Esacusmagnirostris,Burhinus giganteus giganteus|Esacus giganteus|Esacus magnirostris magnirostris|Esacus neglectus neglectus,Beach Thick-knee, Beach Stone-curlew,,,,,NT,,2014,decreasing,,,
109,CHARADRIIFORMES,BURHINIDAE,Esacus,recurvirostris,Esacus recurvirostris,Esacusrecurvirostris,Burhinus recurvirostris recurvirostris,Great Thick-knee, Great Stone-curlew,,,,,NT,,2013,decreasing,,,
110,CHARADRIIFORMES,CHARADRIIDAE,Anarhynchus,frontalis,Anarhynchus frontalis,Anarhynchusfrontalis,,Wrybill,,,,,,VU,C2a(i),2012,decreasing,,,
111,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alexandrinus,Charadrius alexandrinus,Charadriusalexandrinus,,Kentish Plover, Snowy Plover,,,,,LC,,2014,decreasing,,,
112,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alticola,Charadrius alticola,Charadriusalticola,,Puna Plover,,,,,,LC,,2012,unknown,,,
113,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,aquilonius,Charadrius aquilonius,Charadriusaquilonius,,Northern Red-breasted Plover,,,,,,NT,,2014,increasing,,,
114,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,asiaticus,Charadrius asiaticus,Charadriusasiaticus,,Caspian Plover,,,,,,LC,,2012,decreasing,,,
115,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bicinctus,Charadrius bicinctus,Charadriusbicinctus,,Double-banded Plover, Banded Dotterel,,,,,LC,,2014,unknown,,,
116,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bifrontatus,Charadrius bifrontatus,Charadriusbifrontatus,,Madagascar Three-banded Plover,,,,,,LC,,2014,unknown,,,
117,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,collaris,Charadrius collaris,Charadriuscollaris,,Collared Plover,,,,,,LC,,2012,decreasing,,,
118,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dealbatus,Charadrius dealbatus,Charadriusdealbatus,,White-faced Plover,,,,,,DD,,2014,unknown,,,
119,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dubius,Charadrius dubius,Charadriusdubius,,Little Ringed Plover,,,,,,LC,,2012,stable,,,
120,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,falklandicus,Charadrius falklandicus,Charadriusfalklandicus,,Two-banded Plover,,,,,,LC,,2012,stable,,,
121,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,forbesi,Charadrius forbesi,Charadriusforbesi,,Forbes's Plover,,,,,,LC,,2012,unknown,,,
122,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,hiaticula,Charadrius hiaticula,Charadriushiaticula,,Common Ringed Plover, Ringed Plover,,,,,LC,,2012,decreasing,,,
123,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,javanicus,Charadrius javanicus,Charadriusjavanicus,,Javan Plover,,,,,,NT,,2012,decreasing,,,
124,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,leschenaultii,Charadrius leschenaultii,Charadriusleschenaultii,,Greater Sandplover, Large Sand Dotterel, Greater Sand-Plover,,,,LC,,2012,unknown,,,
125,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,marginatus,Charadrius marginatus,Charadriusmarginatus,,White-fronted Plover,,,,,,LC,,2012,decreasing,,,
126,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,melodus,Charadrius melodus,Charadriusmelodus,,Piping Plover,,,,,,NT,,2012,increasing,,,
127,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,modestus,Charadrius modestus,Charadriusmodestus,,Rufous-chested Plover, Rufous-chested Dotterel,,,,,LC,,2012,unknown,,,
128,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,mongolus,Charadrius mongolus,Charadriusmongolus,,Lesser Sandplover, Mongolian Dotterel, Lesser Sand-Plover, Mongolian Plover,,,LC,,2012,unknown,,,
129,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,montanus,Charadrius montanus,Charadriusmontanus,,Mountain Plover,,,,,,NT,,2012,decreasing,,,
130,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,nivosus,Charadrius nivosus,Charadriusnivosus,,Snowy Plover,,,,,,NT,,2014,decreasing,,,
131,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,obscurus,Charadrius obscurus,Charadriusobscurus,,Southern Red-breasted Plover,,,,,,EN,D,2014,stable,,,
132,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pallidus,Charadrius pallidus,Charadriuspallidus,,Chestnut-banded Plover,,,,,,NT,,2012,stable,,,
133,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pecuarius,Charadrius pecuarius,Charadriuspecuarius,,Kittlitz's Plover,,,,,,LC,,2012,unknown,,,
134,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,peronii,Charadrius peronii,Charadriusperonii,,Malay Plover,,,,,,NT,,2012,decreasing,,,
135,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,placidus,Charadrius placidus,Charadriusplacidus,,Long-billed Plover,,,,,,LC,,2012,decreasing,,,
