feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
472,Pterodromaalba,0.27,,,,0.27,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,83,,,,,,,,,,,,,,,grant,27/06/2016
473,Pterodromaarminjoniana,,0.29,0.46,,,0.29,0.46,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,88,102,,,,,,,,,,,,,grant,27/06/2016
474,Pterodromaatrata,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
475,Pterodromaaxillaris,0.2,,,,0.2,,,,,,,,,,1,,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,71,,,,,,,,,,,,,grant,27/06/2016
476,Pterodromabaraui,0.4,,,,0.4,,,,,,,,,,1,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,grant,27/06/2016
477,Pterodromabrevipes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
478,Pterodromacahow,,,,,,,,,,,,,,,1,,,,,52,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,89,,,,,,,,,,,,,,,grant,27/06/2016
479,Pterodromacaribbaea,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,ca,,,,,,,,,,,,grant,27/06/2016
480,Pterodromacervicalis,,0.38,0.54,,,0.38,0.54,,,,,,,,1,,,,,,,,,,100,115,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,grant,27/06/2016
481,Pterodromacookii,0.19,,,,0.19,,,,,,,,,,1,,,,,,47,51,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,65,,,,,,,,,,,,,,,grant,27/06/2016
482,Pterodromadefilippiana,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,ca,,,,,,,,,,,,grant,27/06/2016
483,Pterodromadeserta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
484,Pterodromaexterna,,0.41,0.54,,,0.41,0.54,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,95,97,,,,,,,,,,,,,grant,27/06/2016
485,Pterodromafeae,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,95,,,,,,,,,,,,,grant,27/06/2016
486,Pterodromagouldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
487,Pterodromahasitata,,,,,,,,,,,,,,,1,,,,,,51,54,,,90,100,,,,,,,,,,,,,,,,,,,,,,,,,OS,,95,,,,,,,,,,,,,,,grant,27/06/2016
488,Pterodromaheraldica,0.32,,,,0.32,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,88,102,,,,,,,,,,,,,grant,27/06/2016
489,Pterodromahypoleuca,0.24,0.152,0.308,,0.24,0.152,0.308,,,,,,,,1,,,,,49,,,,82,77,89,,83,,,,,,,,,,,,,,,,,,,,,,,OS,,,63,71,,21,,,,,,,,,,,grant,27/06/2016
490,Pterodromaincerta,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS?,,100,,,,,,,,,,,,,,,grant,27/06/2016
491,Pterodromainexpectata,,0.24,0.44,,,0.24,0.44,,,,,,,,1,,,,61,,49,53,,,90,105,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,78,84,,,,,,,,,,,,,grant,27/06/2016
492,Pterodromalessonii,,0.58,0.81,,,0.58,0.81,,,,,,,,1,,,,99,60,,,ca,112,,,,,,,13,,,,,,,,,0.9,,,,,,,5.5,,,,OS,,109,,,,,,,,,,,,,,,grant,27/06/2016
493,Pterodromaleucoptera,,0.17,0.22,,,0.17,0.22,,,,,,,,1,,,,,,42,49,,,77,84,,,,,,,,,,,,,,,,,,,,,,,,,OS,,70,,,,,,,,,,,,,,,grant,27/06/2016
494,Pterodromalongirostris,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,53,,,,,,,,,,,,,,,grant,27/06/2016
495,Pterodromamacroptera,,0.46,0.75,,,0.46,0.75,,,,,,,,1,,,,90,,55,57,,125,,,,,,,,,,,,0,,,,,,,,,,,,6,7,,OS,,,97,102,,,,,,,,,,,,,grant,27/06/2016
496,Pterodromamadeira,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
497,Pterodromamagentae,,0.42,0.51,,,0.42,0.51,,,,,,,,1,,,,,52,,,,90,,,?,,,,,,,,0.26,,,,,,,,,,,,,,,,OS,,102,,,,,,,,,,,,,,,grant,27/06/2016
