sst_id,feature_id,species_id,cite_id
523,317,Larusscopulinus,citation171
524,318,Larusscoresbii,citation315
525,319,Larusserranus,citation42
526,320,Larussmithsonianus,citation194
527,321,Larusthayeri,citation42
528,322,Onychoprionaleuticus,citation10
529,322,Onychoprionaleuticus,citation195
530,323,Onychoprionanaethetus,citation116
531,323,Onychoprionanaethetus,citation135
532,323,Onychoprionanaethetus,citation78
533,323,Onychoprionanaethetus,citation79
534,324,Onychoprionfuscatus,citation104
535,324,Onychoprionfuscatus,citation16
536,325,Onychoprionlunatus,citation6
537,325,Onychoprionlunatus,citation175
538,326,Pagophilaeburnea,citation58
539,326,Pagophilaeburnea,citation115
540,326,Pagophilaeburnea,citation272
541,326,Pagophilaeburnea,citation273
542,326,Pagophilaeburnea,citation294
543,327,Phaetusasimplex,citation104
544,328,Procelsternaalbivitta,citation104
545,329,Procelsternacerulea,citation104
546,330,Rhodostethiarosea,citation42
547,330,Rhodostethiarosea,citation272
548,331,Rissabrevirostris,citation46
549,331,Rissabrevirostris,citation131
550,331,Rissabrevirostris,citation42
551,331,Rissabrevirostris,citation303
552,331,Rissabrevirostris,citation16
553,332,Rissatridactyla,citation56
554,332,Rissatridactyla,citation57
555,332,Rissatridactyla,citation131
556,332,Rissatridactyla,citation11
557,332,Rissatridactyla,citation272
558,332,Rissatridactyla,citation16
559,332,Rissatridactyla,citation35
560,332,Rissatridactyla,citation244
561,333,Rynchopsalbicollis,citation104
562,334,Rynchopsflavirostris,citation104
563,335,Rynchopsniger,citation225
564,335,Rynchopsniger,citation104
565,335,Rynchopsniger,citation16
566,335,Rynchopsniger,citation73
567,336,Saundersilarussaundersi,citation42
568,337,Sternaacuticauda,citation104
569,338,Sternaaurantia,citation104
570,338,Sternaaurantia,citation183
571,339,Sternadougallii,citation192
572,339,Sternadougallii,citation105
573,339,Sternadougallii,citation271
574,339,Sternadougallii,citation16
575,339,Sternadougallii,citation226
576,339,Sternadougallii,citation174
577,340,Sternaforsteri,citation104
578,341,Sternahirundinacea,citation104
579,341,Sternahirundinacea,citation279
580,342,Sternahirundo,citation9
581,342,Sternahirundo,citation106
582,342,Sternahirundo,citation242
583,342,Sternahirundo,citation193
584,342,Sternahirundo,citation16
585,342,Sternahirundo,citation74
586,343,Sternaparadisaea,citation65
587,343,Sternaparadisaea,citation158
588,343,Sternaparadisaea,citation241
589,343,Sternaparadisaea,citation242
590,343,Sternaparadisaea,citation272
591,343,Sternaparadisaea,citation16
592,344,Sternarepressa,citation104
593,345,Sternastriata,citation104
594,346,Sternasumatrana,citation158
595,346,Sternasumatrana,citation104
596,347,Sternatrudeaui,citation104
597,348,Sternavirgata,citation104
598,348,Sternavirgata,citation135
599,349,Sternavittata,citation104
600,349,Sternavittata,citation135
601,350,Sternulaalbifrons,citation104
602,350,Sternulaalbifrons,citation137
603,350,Sternulaalbifrons,citation199
604,350,Sternulaalbifrons,citation248
605,351,Sternulaantillarum,citation133
606,351,Sternulaantillarum,citation167
607,351,Sternulaantillarum,citation55
608,351,Sternulaantillarum,citation284
609,351,Sternulaantillarum,citation16
610,352,Sternulabalaenarum,citation104
611,353,Sternulalorata,citation104
612,353,Sternulalorata,citation316
613,354,Sternulanereis,citation104
614,355,Sternulasaundersi,citation104
615,356,Sternulasuperciliaris,citation104
616,357,Thalasseusbengalensis,citation104
617,358,Thalasseusbergii,citation158
618,358,Thalasseusbergii,citation104
619,359,Thalasseusbernsteini,citation104
620,359,Thalasseusbernsteini,citation223
621,360,Thalasseuselegans,citation249
622,360,Thalasseuselegans,citation45
623,361,Thalasseusmaximus,citation104
624,361,Thalasseusmaximus,citation16
625,361,Thalasseusmaximus,citation54
626,362,Thalasseussandvicensisacuflavida,citation157
627,362,Thalasseussandvicensisacuflavida,citation262
628,362,Thalasseussandvicensisacuflavida,citation16
629,363,Thalasseussandvicensiseurygnatha,citation262
630,364,Xemasabini,citation42
631,364,Xemasabini,citation272
632,365,Fregettagrallaria,citation62
633,365,Fregettagrallaria,citation298
634,365,Fregettagrallaria,citation299
635,366,Fregettamaoriana,citation53
636,367,Fregettatropica,citation62
637,367,Fregettatropica,citation298
638,367,Fregettatropica,citation299
639,368,Garrodianereis,citation62
640,368,Garrodianereis,citation298
641,368,Garrodianereis,citation299
642,369,Nesofregettafuliginosa,citation48
643,369,Nesofregettafuliginosa,citation253
644,370,Oceanitesgracilis,citation48
645,371,Oceanitesgracilisgalapagoensis,citation194
646,372,Oceanitesoceanicus,citation60
647,372,Oceanitesoceanicus,citation62
648,372,Oceanitesoceanicus,citation299
649,373,Oceanitesoceanicuschilensis,citation127
650,374,Oceanitesoceanicusexasperatus,citation18
651,375,Oceanitesoceanicusoceanicus,citation152
652,376,Oceanitespincoyae,citation127
653,377,Pelagodromamarina,citation62
654,377,Pelagodromamarina,citation298
655,377,Pelagodromamarina,citation299
656,378,Pedionomustorquatus,citation194
657,379,Pelecanusconspicillatus,citation165
658,379,Pelecanusconspicillatus,citation146
659,380,Pelecanuscrispus,citation59
660,380,Pelecanuscrispus,citation146
661,381,Pelecanuserythrorhynchos,citation87
662,381,Pelecanuserythrorhynchos,citation146
663,382,Pelecanusoccidentalis,citation250
664,382,Pelecanusoccidentalis,citation206
665,382,Pelecanusoccidentalis,citation146
666,383,Pelecanusonocrotalus,citation224
667,383,Pelecanusonocrotalus,citation132
668,383,Pelecanusonocrotalus,citation48
669,383,Pelecanusonocrotalus,citation146
670,384,Pelecanusphilippensis,citation184
671,384,Pelecanusphilippensis,citation146
672,385,Pelecanusrufescens,citation44
673,385,Pelecanusrufescens,citation72
674,385,Pelecanusrufescens,citation146
675,386,Pelecanusthagus,citation194
676,387,Phaethonaethereus,citation274
677,387,Phaethonaethereus,citation122
678,387,Phaethonaethereus,citation200
679,388,Phaethonlepturus,citation274
680,388,Phaethonlepturus,citation165
681,388,Phaethonlepturus,citation161
682,388,Phaethonlepturus,citation229
683,389,Phaethonrubricauda,citation91
684,389,Phaethonrubricauda,citation165
685,389,Phaethonrubricauda,citation252
686,389,Phaethonrubricauda,citation16
687,389,Phaethonrubricauda,citation256
688,390,Microcarboafricanus,citation200
689,390,Microcarboafricanus,citation146
690,391,Microcarbocoronatus,citation200
691,391,Microcarbocoronatus,citation146
692,392,Microcarbomelanoleucos,citation165
693,392,Microcarbomelanoleucos,citation200
694,393,Microcarboniger,citation200
695,393,Microcarboniger,citation146
696,394,Microcarbopygmaeus,citation200
697,394,Microcarbopygmaeus,citation146
698,395,Phalacrocoraxbransfieldensis,citation165
699,395,Phalacrocoraxbransfieldensis,citation200
700,396,Phalacrocoraxgeorgianus,citation165
701,396,Phalacrocoraxgeorgianus,citation200
702,397,Phalacrocoraxaristotelis,citation218
703,397,Phalacrocoraxaristotelis,citation52
704,397,Phalacrocoraxaristotelis,citation146
705,397,Phalacrocoraxaristotelis,citation35
706,398,Phalacrocoraxatriceps,citation165
707,398,Phalacrocoraxatriceps,citation146
708,399,Phalacrocoraxauritus,citation52
709,399,Phalacrocoraxauritus,citation80
710,399,Phalacrocoraxauritus,citation265
711,399,Phalacrocoraxauritus,citation85
712,399,Phalacrocoraxauritus,citation130
713,400,Phalacrocoraxbougainvilliorum,citation200
714,401,Phalacrocoraxbrasilianus,citation202
715,401,Phalacrocoraxbrasilianus,citation282
716,402,Phalacrocoraxcampbelli,citation165
717,402,Phalacrocoraxcampbelli,citation200
718,403,Phalacrocoraxcapensis,citation200
719,403,Phalacrocoraxcapensis,citation146
720,404,Phalacrocoraxcapillatus,citation146
721,405,Phalacrocoraxcarbo,citation52
722,405,Phalacrocoraxcarbo,citation165
723,405,Phalacrocoraxcarbo,citation146
724,405,Phalacrocoraxcarbo,citation93
725,406,Phalacrocoraxcarunculatus,citation165
726,406,Phalacrocoraxcarunculatus,citation200
727,407,Phalacrocoraxchalconotus,citation200
728,408,Phalacrocoraxcolensoi,citation165
729,408,Phalacrocoraxcolensoi,citation200
730,409,Phalacrocoraxfeatherstoni,citation200
731,410,Phalacrocoraxfuscescens,citation165
732,410,Phalacrocoraxfuscescens,citation200
733,411,Phalacrocoraxfuscicollis,citation200
734,412,Phalacrocoraxgaimardi,citation200
735,412,Phalacrocoraxgaimardi,citation146
736,413,Phalacrocoraxharrisi,citation121
737,413,Phalacrocoraxharrisi,citation200
738,413,Phalacrocoraxharrisi,citation146
739,414,Phalacrocoraxmagellanicus,citation200
740,415,Phalacrocoraxneglectus,citation200
741,416,Phalacrocoraxnigrogularis,citation200
742,416,Phalacrocoraxnigrogularis,citation146
743,417,Phalacrocoraxonslowi,citation165
744,417,Phalacrocoraxonslowi,citation200
745,418,Phalacrocoraxpelagicus,citation52
746,418,Phalacrocoraxpelagicus,citation136
747,418,Phalacrocoraxpelagicus,citation16
